id,cote,tome,type,auteur,titre,couverture,langue,edition,datation,contenu,etat,notes,emplacement
1,4 Z 1,1,Manuscrit imprimé,Devassimon,"Mémoire pour le Marquis de Bassompière, & les Tabellions Seigneuriaux de ce Marquifat, Appelans. Contre Me. Pommier, Notaire au baillage de Mirecourt.",Papier cartonné,Français,"Nancy, Veuve Charlot","Monday, November 07, 1904","Mémoire pour le Marquis de Bassompière, & les Tabellions Seigneuriaux de ce Marquifat, Appelans. Contre Me. Pommier, Notaire au baillage de Mirecourt.",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
2,4 Z 1,2,Manuscrit imprimé,Mathieu,"Réponse de M.M de Bassompierre, deffendeurs. Au Mémoire imprimé , à la république verbale de la dame de Villeron, Demanderelle.",Papier cartonné,Français,,,"Réponse de M.M de Bassompierre, deffendeurs. Au Mémoire imprimé , à la république verbale de la dame de Villeron, Demanderelle.",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
3,4 Z 1,3,Manuscrit imprimé,,Pour Marie-Joséphine Barbe d'Alwin... Contre M. M. de Bassompierre.,Papier cartonné,Français,,"Sunday, September 04, 1904",Pour Marie-Joséphine Barbe d'Alwin Contre M. M. de Bassompierre.,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
4,4 Z 1,4,Manuscrit imprimé,Mathieu,"Réfutation de la consultation faite à Paris, pour Mme la duchesse d'Havrez, contre Monsieurs de Bassompierre, le 4 juillet 1709.",Papier cartonné,Français,Paris,4 juillet 1709,"Réfutation de la consultation faite à Paris, pour Mme la duchesse d'Havrez, contre Monsieurs de Bassompierre, le 4 juillet 1709.",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
5,4 Z 1,5,Manuscrit imprimé,Mathieu,"Sommaire de la course de Messieurs de Bassompierre, deffendeurs, contre Madame la duchesse d'Havré, demandeur. ",Papier cartonné,Français,,"Sunday, September 04, 1904","Sommaire de la course de Messieurs de Bassompierre, deffendeurs, contre Madame la duchesse d'Havré, demandeur. ",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
6,4 Z 1,6,Manuscrit imprimé,Vaultrin,Sommaire de l'instance d'ordre de décret des marquisat de Haroué et barronie de Bassompierre.,Papier cartonné,Français,,"Monday, September 05, 1904",Sommaire de l'instance d'ordre de décret des marquisat de Haroué et barronie de Bassompierre.,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
7,4 Z 1,7,Manuscrit imprimé,André,"Factum pour Jean Claude, marquis de Bassompierre et Marie Madelaine Bonne d'Hanal contre César Mauljean. ",Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",,"Factum pour Jean Claude, marquis de Bassompierre et Marie Madelaine Bonne d'Hanal contre César Mauljean. ",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
8,4 Z 1,8,Manuscrit imprimé,André,Supplément au factum de Jean Claude marquis de Bassompierre et de Baudricourt contre César Mauljean. ,Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",,Supplément au factum de Jean Claude marquis de Bassompierre et de Baudricourt contre César Mauljean. ,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
9,4 Z 1,9,Manuscrit imprimé,,Précis de l'instance évoquée au conseilentre Messieurs de Bassompierre et la Dame de Bois lève d'Armaillé. ,Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",,Précis de l'instance évoquée au conseilentre Messieurs de Bassompierre et la Dame de Bois lève d'Armaillé. ,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
10,4 Z 1,10,Manuscrit imprimé,,"Inventaire de production. Jean Antoine, baron d'Eltz contre Anne François Joseph, marquis de Bassompierre.",Papier cartonné,Français,,,"Inventaire de production. Jean Antoine, baron d'Eltz contre Anne François Joseph, marquis de Bassompierre.",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
11,4 Z 1,11,Manuscrit imprimé,,"Conclusions de l'avocat général de Montureux, dans l'affaire de Messieurs de Bassompierre contre le baron d'Eltz.",Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",,"Conclusions de l'avocat général de Montureux, dans l'affaire de Messieurs de Bassompierre contre le baron d'Eltz.",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
12,4 Z 1,12,Manuscrit imprimé,Léopold,Mémoire pour les Dames de Poussay contre le comte de Rouvroy et le marquis de Fussey. ,Papier cartonné,Français,"Nancy, Sébastien Bachot",19 juin 1774,Mémoire pour les Dames de Poussay contre le comte de Rouvroy et le marquis de Fussey. ,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
13,4 Z 1,13,Manuscrit imprimé,Juzan de la Tour,Supplément au mémoire pour les Dames de Poussay contre le comte de Rouvroy et le marquis de Fussey. ,Papier cartonné,Français,"Nancy, Sébastien Bachot",1er juillet 1774,Supplément au mémoire pour les Dames de Poussay contre le comte de Rouvroy et le marquis de Fussey. ,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
14,4 Z 1,14,Manuscrit imprimé,Léopold,"Précis de M. M. Labbé, comte de Rouvroy et de Coussey, et du marquis de Fussey contre les dames abbesse, du chapitre de Poussey. ",Papier cartonné,Français,,1er juillet 1774,"Précis de M. M. Labbé, comte de Rouvroy et de Coussey, et du marquis de Fussey contre les dames abbesse, du chapitre de Poussey. ",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
