id,n_carton,fonds,type_de_document,auteur,auteur_bis,titre,couverture,langue,edition,datation,contenu,etat,ancien_proprietaire,notes,don,emplacement_initial_dans_la_bibliotheque
1,132,Abbé Harmand,Livre de poche,"M. A. Magin, ancien recteur de l'académie de Poitiers","Corrigé par L. Grégoire, professeur d'histoire au lycée Fontanes","Histoire de France abrégée, depuis les temps les plus anciens jusqu'à nos jours. À l'usage de tous les établissements d'instruction publique.",Vert à tranche bleue,Français,"Paris, Librairie CH. Delagrave",1884,"Cours (voire titre), chronologie, questionnaire.",Pages détachées et tachées d'encre. État correct de l'extérieur. Écriture bien lisible.,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
2,132,Abbé Harmand,Livre de poche,"M. L'abbé Drioux, chanoine honoraire de Langres, docteur en théologie",_,"Précis élémentaire de Mythologie Grecque, Romaine, Indienne, Persane, Egyptienne, Gauloise et Scandinave. À l'usage des institutions et des autres établissements d'instruction publique.",Marron,Français,"22e édition. Paris, Librairie classique d'Eugène Belin",1879,"Des chapitres, un index, une table des matières, une illustration des dieux grecs. ",Etat correct dans l'ensemble. Quelques taches sur les pages.,Madeleine Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
3,132,Abbé Harmand,Livre de poche,"G. Beleze, ancien chef d'institution à Paris",_,"Nouveau cours d'enseignement élémentaire, histoire moderne. L'histoire moderne mise à la portée des enfants. ",Gris,Français,"11e édition. Paris, Imprimerie et Librairie classique de Jules Delalain et fils.",janvier 1874,"Chapitres, questionnaire.",La tranche est déchirée et les pages ne tiennent plus. ,"Emma Goüy de Bellocq, 1ère classe","L'ancien propriétaire à réalisé une chronologie manuscrite à la fin de l'ouvrage. Sur la première page on lit ""Vous avez raison Melle""","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
4,132,Abbé Harmand,Livre de poche,"G. Beleze, ancien chef d'institution à Paris",_,"Nouveau cours d'enseignement élémentaire, histoire moderne. L'histoire moderne mise à la portée des enfants. ",Marron  ,Français,"4e édition. Paris, Imprimerie et Librairie classique de Jules Delalain, imprimeur de l'université",XIXe siècle,"Chapitres, table des matières et carte géographique.",Etat correct. Quelques pages arrachées. ,_,"Contient un bon point vert, avec un nom manuscrit effacé. ","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
5,132,Abbé Harmand,Livre de poche,"J.-L.-C. Renaudin, instituteur, officier de l'instruction publique",_,"Histoire sainte des écoles, suivie de notions d'histoire ecclésiastique et enrichie de cartes géographiques et notices historiques. ",Jaune ,Français,"6e édition. Paris, Aug. Boyer et Cie, Librairies-éditeurs",XIXe siècle,"Chapitres, table des matières et carte géographique.",Etat correct. Les pages commencent à se détacher. La couverture est un peu déchirée. ,Madeleine Goüy de Bellocq,"L'ancienne propriétaire à dessiné des maisons, des fleurs etc. sur les pages. Plusieurs noms apparaissent sur les hauts des pages comme Marie Meyer, Louise Jeandel, Marie Lefebvre etc.","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
6,132,Abbé Harmand,Livre de poche,"G. Beleze, ancien chef d'institution à Paris",_,Petite histoire de France pour le premier âge.,Gris à tranche verte,Français,"27e édition. Paris, Imprimerie et Librairie classique de Jules Delalain et fils",1870,"Chapitres, chronologie, portraits et carte géographique.",Etat correct. Quelques pages arrachées. ,Pauline Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
7,132,Abbé Harmand,Livre de poche,"G. Beleze, ancien chef d'institution à Paris",_,L'histoire naturelle mise à la portée des enfants.,Grise,Français,"45e édition. Paris, Imprimerie et Librairie classique de Jules Delalain et fils.",1876,"Chapitres, dessins et portraits, questionnaire.",Etat correct. Couverture un peu effacée.,_,Quelques calculs écrits à la main.,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
8,132,Abbé Harmand,Livre de poche,"M. Lamé Fleury, auteur de plusieurs ouvrages d'éducation",_,L'histoire sainte racontée aux enfants.,Bleu sans tranche,Français,"8e édition. Paris, Charles Borrani et A. Allouard.",1848,Episodes de l'ancien testament étudiés un à un ,Etat correct. Manque la tanche. Couverture un peu abimée. ,Emma Goüy de Bellocq,Dessins de maisons sur les pages. ,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
9,132,Abbé Harmand,Livre de poche,"J.-L.-C. Renaudin, instituteur, maître de pension",_,Histoire sainte des écoles primaires faisant suite à la petite histoire sainte du jeune âge.,Beige,Français,"Paris, Larousse et Boyer, Libraires-éditeurs",1860,Chapitres et table des matières,Etat correct,Madeleine Goüy de Bellocq,Cartes géographiques manquantes,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
10,132,Abbé Harmand,Livre de poche,"M. L'abbé Drioux, chanoine honoraire de Langres, docteur en théologie",_,Petit cours d'histoire et de géographie mis à la portée du premier âge.,Vert à tranche bleue,Français,"34e édition. Paris, Librairie classique d'Eugène Belin",1883,"Chapitres, chronologie, table des matières, questionnaire",Correct. Couverture déchirée ainsi que la page de garde. ,_,"Série de prénoms manuscrit sur la première page: Arnold, Colin, Albert, Martin, Remy etc.","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
11,132,Abbé Harmand,Livre de poche,"P. Sadler, auteur de livres de grammaire et de langue anglaise",_,Cours gradué de langue anglaise (deuxième partie) ou petit cours de versions à l'usage des classes élémentaires.,Beige à tranche bleue,Anglais,"6e édition. Paris, Librairie française et anglaise de Truchy.",1847,"Recueil d'anecdotes historiques avec notes explicatives, introduction sur la locution, dictionnaire anglais-français",Correct. Quelques pages tachées. Couverture déchirée en deux,Zoé de Bellocq,"""appartient à Zoé"", ""cq. Maman""","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
12,132,Abbé Harmand,Livre de poche,Un professeur de L'université,_,"Fablier moral, à l'usage de la jeunesse des deux sexes.",Bleu à tranche noire (rien d'écrit),Français,"Paris, Aug Delalain / Lunéville, Creusat. / Nancy Imrpiemrie de Dard",Otobre 1335 copie XIXe siècle,Fables,Couverture en mauvais état. ,_,Des signatures sur la couverture. Un texte au sujet de grammaire française et latine sur la première page. ,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
13,132,Abbé Harmand,Livre de poche,F. P. B.,_,Les quatre règles.,Bleu à tranche blanche (rien d'écrit),Français,"Tours, Alfred Mame et fils / Paris, Poussielgue frères",1876,Cours de mathématiques,Correct. Manque quelques pages,Pauline Goüy,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
14,132,Abbé Harmand,Livre de poche,C. Siret,Notice de A. Mottet. ,Epitome. Historiae Graecae.,Jaune à tranche grise,Français-latin,"Paris, Imprimerie et Librairie classique de Jules Delalain et fils. ",XIXe siècle,"Passages de textes anciens, dctionnaire",Correct,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
