id,id_texte,commentaires
1,1,"1. « Mémoire concernant les Etats de Lorraine et Barrois, dressé ... par M. des Marêts de Vaubourg, 1697. »/XVIIe siècle. Papier. 92 feuillets. 217 sur 145 millim. Carte gravée de la Lorraine. Cartonné."
2,2,"2. « Description et statistique de la Lorraine et du Barrois en 1698, par M. de Vaubourg. » Copie faite par M.J.-M. Comus./XIXe siècle. Papier. 40 pages. 290 sur 190 millim. Broché."
3,3,"3. « Mémoires concernant la comté de Bourgogne (Franche-Comté) et sur les Etats de Lorraine et Barrois ... Le premier composé par M. d'Harrouys ... le second par M. de Vaubourg. 1698. »/Page 1. Comté de Bourgogne. - Page 169. Etats de Lorraine et Barrois. - Cf. Boulainvillers, Elat de la France, 2e édit., t. III, p. 382, et t. IV, p. 224./XVIIIe siècle. Papier. 319 pages. 355 sur 235 millim. A la fin, 9 cartes différentes de Bourgogne et de Lorraine et Barrois, gravées par Jaillot, de Fer et Nolia. Rel. veau."
4,4,"4. Polium du bailliage de Nancy, 1758-1770./Fol. A. « Répertoire. » - Fol. 1. « Nancy et dépendances. » - Fol. 199. « Frouart. » Etat des localités en 1758 et en 1770./XVIIIe siècle. Papier. 201 feuillets. 318 sur 203 millim. Cart. parchemin."
5,5,"5-7. « Etat de tous les lieux qui composent les duchés de Lorraine et de Bar, tant en villes, bourgs, villages, etc... Le tout extrait des originaux remis ... par M. de Mahuet au sieur Bugnon. 1708. »/5. Page 3. «Bailliage de Nancy. » - Page 353. Bailliage de Lunéville. - Page 443. Notes géologiques."
6,6,"5-7. « Etat de tous les lieux qui composent les duchés de Lorraine et de Bar, tant en villes, bourgs, villages, etc... Le tout extrait des originaux remis ... par M. de Mahuet au sieur Bugnon. 1708. »/6. Fol. 1. Bailliage de Mirecourt.  Fol. 251. Comté de Vaudémont."
7,7,"5-7. « Etat de tous les lieux qui composent les duchés de Lorraine et de Bar, tant en villes, bourgs, villages, etc... Le tout extrait des originaux remis ... par M. de Mahuet au sieur Bugnon. 1708. »/7. Fol. 1, Bailliage de Saint-Mihiel. - Fol. 351. Prévôté de Souilly./XVIIIe siècle. Papier. 450 pages. 273 et 359 feuillets. 313 sur 203 millim. Cartonné."
8,8,"8. « Dictionnaire des lieux qui composent les duchés de Lorraine et de Bar », par Bugnon./Une courte notice descriptive est consacrée à chaque localité./XVIIIe siècle. Papier. 818 pages. Dont la numérotation commence à 8. 265 sur 170 millim. Au vo du fol. 8, une carte des « Etats de Lorraine ». Rel. veau."
9,9,"9. « L'alphabet des gouvernements et temporels des trois évêchés de Metz, Toul et Verdun, par M. B. J. et G. D. S. A. R. (Bugnon), 1709. »/Au bas du titre : « Coppie destinée pour M. le Premier Président. »/XVIIIe siècle. Papier. 122 pages. 155 sur 103 millim. - Page 13. « Carte de la Lorraine où sont enclavés les Trois-Evêchés. »  Page 122. « Le chemin royal des François en Lorraine. » Carte gravée. Rel. veau."
10,10,"10. « Abrégé du Polium géographique et chorographique de Lorraine et de Bar, par Didier Bugnon, à Lunéville, 1730. »/Fol. A. « Remontrances faites à S. A. R. ... par Bugnon, sur la nécessité qu'il y a de faire des descriptions géographiques de tous ses Etats .. » Imp. - Page 8. Table des chapitres. - Page 24. Première partie. -- Page 262. « Table générale et alphabétique de tous les bourgs, les villes ...» Copie avec des notes de la main de l'auteur./XVIIIe siècle. Papier. 6 feuillets et 328 pages. 310 sur 200 millim. -- Page 2. Carte de la Lorraine. Quelques dessins à la plume. Rel. veau."
