cote,tome,type,auteur,titre,couverture,langue,edition,datation,contenu,etat,notes,emplacement
4 Z 1,1,Manuscrit imprimé,Devassimon,"Mémoire pour le Marquis de Bassompière, & les Tabellions Seigneuriaux de ce Marquifat, Appelans. Contre Me. Pommier, Notaire au baillage de Mirecourt.",Papier cartonné,Français,"Nancy, Veuve Charlot","Monday, November 07, 1904","Mémoire pour le Marquis de Bassompière, & les Tabellions Seigneuriaux de ce Marquifat, Appelans. Contre Me. Pommier, Notaire au baillage de Mirecourt.",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,2,Manuscrit imprimé,Mathieu,"Réponse de M.M de Bassompierre, deffendeurs. Au Mémoire imprimé , à la république verbale de la dame de Villeron, Demanderelle.",Papier cartonné,Français,_,_,"Réponse de M.M de Bassompierre, deffendeurs. Au Mémoire imprimé , à la république verbale de la dame de Villeron, Demanderelle.",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,3,Manuscrit imprimé,_,Pour Marie-Joséphine Barbe d'Alwin... Contre M. M. de Bassompierre.,Papier cartonné,Français,_,"Sunday, September 04, 1904",Pour Marie-Joséphine Barbe d'Alwin Contre M. M. de Bassompierre.,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,4,Manuscrit imprimé,Mathieu,"Réfutation de la consultation faite à Paris, pour Mme la duchesse d'Havrez, contre Monsieurs de Bassompierre, le 4 juillet 1709.",Papier cartonné,Français,Paris,4 juillet 1709,"Réfutation de la consultation faite à Paris, pour Mme la duchesse d'Havrez, contre Monsieurs de Bassompierre, le 4 juillet 1709.",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,5,Manuscrit imprimé,Mathieu,"Sommaire de la course de Messieurs de Bassompierre, deffendeurs, contre Madame la duchesse d'Havré, demandeur. ",Papier cartonné,Français,_,"Sunday, September 04, 1904","Sommaire de la course de Messieurs de Bassompierre, deffendeurs, contre Madame la duchesse d'Havré, demandeur. ",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,6,Manuscrit imprimé,Vaultrin,Sommaire de l'instance d'ordre de décret des marquisat de Haroué et barronie de Bassompierre.,Papier cartonné,Français,_,"Monday, September 05, 1904",Sommaire de l'instance d'ordre de décret des marquisat de Haroué et barronie de Bassompierre.,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,7,Manuscrit imprimé,André,"Factum pour Jean Claude, marquis de Bassompierre et Marie Madelaine Bonne d'Hanal contre César Mauljean. ",Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",_,"Factum pour Jean Claude, marquis de Bassompierre et Marie Madelaine Bonne d'Hanal contre César Mauljean. ",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,8,Manuscrit imprimé,André,Supplément au factum de Jean Claude marquis de Bassompierre et de Baudricourt contre César Mauljean. ,Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",_,Supplément au factum de Jean Claude marquis de Bassompierre et de Baudricourt contre César Mauljean. ,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,9,Manuscrit imprimé,_,Précis de l'instance évoquée au conseilentre Messieurs de Bassompierre et la Dame de Bois lève d'Armaillé. ,Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",_,Précis de l'instance évoquée au conseilentre Messieurs de Bassompierre et la Dame de Bois lève d'Armaillé. ,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,10,Manuscrit imprimé,_,"Inventaire de production. Jean Antoine, baron d'Eltz contre Anne François Joseph, marquis de Bassompierre.",Papier cartonné,Français,_,_,"Inventaire de production. Jean Antoine, baron d'Eltz contre Anne François Joseph, marquis de Bassompierre.",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
