id,n_carton,fonds,type_de_document,auteur,auteur_bis,titre,couverture,langue,edition,datation,contenu,etat,ancien_proprietaire,notes,don,emplacement_initial_dans_la_bibliotheque
19,132,Abbé Harmand,Livre de poche,"M. Edom, recteur de l'académie de Reims",,Histoire sainte abrégée précédée de l'analyse des livres saints.,Marron,Français,"Paris, Dezobry, E. Magdeleine et Cie, Libraires-éditeurs",1849,Explication de l'Ancien Testament,Correct,Zoé de Bellocq,Ce livre appartient à Zoé de Bellocq,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
21,132,Abbé Harmand,Livre de poche,J.-L. Sanis,,Petite histoire de France depuis les temps anciens jusqu'à nos jours. À l'usage des commençants.,Rose,Français,"Paris, CH. Bazin, éditeur",1872,Chapitres sur le sujet,Correct,,,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
33,132,Abbé Harmand,Livre de poche,"M. Lamé Fleury, auteur de plusieurs ouvrages d'éducation",,L'histoire de France raconté à la jeunesse.,Beige,Français,"Paris, Charles Borrani et A. Allouard",1848,Chapitres et table des matières,Correct,,,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
115,133,1870,Passeport,,,Reife-Pass in das Ausland.,Papier,Allemand,,28 avril 1871,Passeport pour adulte international.,Correct,,,,1er étage travée 28 (2)
10,132,Abbé Harmand,Livre de poche,"M. L'abbé Drioux, chanoine honoraire de Langres, docteur en théologie",,Petit cours d'histoire et de géographie mis à la portée du premier âge.,Vert à tranche bleue,Français,"34e édition. Paris, Librairie classique d'Eugène Belin",1883,"Chapitres, chronologie, table des matières, questionnaire",Correct,,"Série de prénoms manuscrit sur la première page: Arnold, Colin, Albert, Martin, Remy etc.","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
52,132,Abbé Harmand,Livre de poche,Virginie Mauvais,,Leçon de géographie méthodique.,Bleu,Français,"3e édition. Nancy, Grimblot et Ve Raybois, Imprimeurs-libraires",1848,Notions de géographie,Correct,Zoé de Bellocq,"""Ce livre appartient à Zoé de Bellocq""","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
11,132,Abbé Harmand,Livre de poche,"P. Sadler, auteur de livres de grammaire et de langue anglaise",,Cours gradué de langue anglaise (deuxième partie) ou petit cours de versions à l'usage des classes élémentaires.,Beige à tranche bleue,Anglais,"6e édition. Paris, Librairie française et anglaise de Truchy.",1847,"Recueil d'anecdotes historiques avec notes explicatives, introduction sur la locution, dictionnaire anglais-français",Correct,Zoé de Bellocq,"""appartient à Zoé"", ""cq. Maman""","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
646,134,Bailly-Bechet,Abonnement,,,Réabonnement.,Papier,Français,,,Carte de réabonnement avec sommes vercée. Détails sur celui qui prend l'abonnement mais on ne sait pas de quoi. ,Correct,Bailly-Bechet,"Pochette ""Saint Amon""  Pochette marron",,1er étage travée 28 (2)
735,135,Marot,Abonnement,M. Mathieu,,Réabonnement.,Papier,Français,Nancy,18-nov-36,Carte de réabonnement.,Correct,Marot,"Pochette ""Historiographie""",,1er étage travée 28 (2)
1320,137 boîte grise,Divers,Acte de décès,,,Acte de décès de Maurice.,Papier,Français,,,Acte de décès de Maurice.,Correct,,,,1er étage travée 28 (2)
1321,137 boîte grise,Divers,Acte de décès,,,Acte de décès de Marie-Joséphine de Fischer de Dicourt.,Papier,Français,,,Acte de décès de Marie-Joséphine de Fischer de Dicourt.,Correct,,,,1er étage travée 28 (2)
876,136,Bailly-Bechet,Acte notarial,J-B Lacaille ,,,Papier,Français,Pont à Mousson,,Ordre de comparution édité par des notaires de Pont à Mousson.,Correct,Bailly-Bechet,"Pochette ""Tombeau de Philippe de Gueldre""",,1er étage travée 28 (2)
1208,137,Divers,Affiche,,,Affiche vente Robécourt.,Papier,Français,,,Affiche vente Robécourt.,Correct,,"Pochette ""Papier famille Farnier-Simonin""",,1er étage travée 28 (2)
1459,139,Divers,Affiche,,,,Papier,Français,,,"Lot d'affiches de théâtre, de cinéma etc.",Correct,,,,1er étage travée 28 (2)
304,133,1870,Annales,M. Emile Boutmy,,Annales de l'école libre des sciences politiques.,Papier,Français,"Paris, Félix Alcan",1889,Annales sur le Reichtag allemand.,Correct,,"Pochette ""L'Allemagne après 1870"" ""La constitution de l'empire d'Allemagne""",,1er étage travée 28 (2)
305,133,1870,Annales,M. Emile Boutmy,,Annales de l'école libre des sciences politiques.,Papier,Français,"Paris, Félix Alcan",1889,Annales sur le Reichtag allemand.,Correct,,"Pochette ""L'Allemagne après 1870"" ""La constitution de l'empire d'Allemagne""",,1er étage travée 28 (2)
1463,139,Divers,Arrêté,Ministre de la guerre,,Arrêté de réquisition.,Papier,Français,,août-39,Arrêté de réquisition. 2 exemplaires.,Correct,,,,1er étage travée 28 (2)
82,132 boîte grise,Divers,Article de journal,,,Chronique Rationaliste,Papier,Français,La Raison Universelle,lundi 15 février 1904,Article sur l'expulsion d'un protestataire ayant fait de la prison en Allemagne. ,Correct,,"Au dos on retrouves un morceau d'article sur M. Arthur Ranc, né à Poitiers le 20 décembre 1831. ",,1er étage travée 28 (2)
89,132 boîte grise ,Divers,Article de journal,,,Haroué,Papier,Français,"St-Nicolas de Port, Imprimerie du Journal l'Abeille",29 octobre 1896,Appel à souscription et aux dons pour honorer la mémoire de François de Bassonpierre et de Charles de Beauvau.,Correct,,,,1er étage travée 28 (2)
103,133,1870,Article de journal,Jean de Bayon,,L'affaire de la rue des Michottes.,Papier,Français,L'Est républicain n°9758,,Article sur l'occupation allemande en Lorraine.,Correct,,,,1er étage travée 28 (2)
106,133,1870,Article de journal,,,Les logements d'officiers dans l'Est.,Papier,Français,L'Est républicain n°9760,,Article de journal. Le sujet correspond au titre. ,Correct,,,,1er étage travée 28 (2)
107,133,1870,Article de journal,,,Corne d'abondance séditieuse.,Papier,Français,L'Est républicain n°9761,,Article de journal. Le sujet correspond au titre. ,Correct,,,,1er étage travée 28 (2)
108,133,1870,Article de journal,,,Procès Zislin.,Papier,Français,L'Est républicain n°9762,,Article de journal. Le sujet correspond au titre. ,Correct,,,,1er étage travée 28 (2)
