N° épi,N° travée,N° tablette,Auteur,Titre,Année,Cote,Etat,métrage ou commentaire,Carton
45,1,6,BOUCHER DE MOLANDON,Inauguration d'une croix commémorative du passage et du séjour de Jeanne d'Arc à Chécy (1),1892,8 V 1,bon,,
45,1,6,VERGNAUD-ROMAGNESI C.-F.,Souvenir de Jeanne d'Arc à Orléans (2),1866,Non côté,moyen,,
45,1,6,VERGNAUD-ROMAGNESI C.-F.,Souvenir de Jeanne d'Arc à Orléans (2 bis),1866,Non côté,mauvais,,
45,1,6,DESNOYERS,Les armes du siège de 1428 (3),,Non côté,bon,,
45,1,6,VERGNAUD-ROMAGNESI C.-F.,Mémoire et documents curieux inédits sur les anciens et sur les nouveaux monuments élevés à la mémoire de Jeanne d'Arc (4),,Non côté,bon,,
45,1,6,VERGNAUD-ROMAGNESI C.-F.,Notice sur le cabinet de Jeanne d'Arc à Orléans (5),1864,Non côté,moyen,,
45,1,6,VERGNAUD-ROMAGNESI C.-F.,Notice sur une ancienne bannière de la ville d'Orléans portée jadis aux processions de la délivrance de la ville (6),1836,Non côté,moyen,,
45,1,6,VERGNAUD-ROMAGNESI C.-F.,Description d'une ancienne bannière de la ville d'Orléans appelée bannière de Jeanne d'Arc (7),1857,Non côté,bon,,
45,1,6,R. B.,Origine du puceau (8),1879,Non côté,bon,,
45,1,6,POTTIER A.,Extrait du rapport présenté au nom d'une commission chargée d'examiner diverses questions relatives à Jeanne d'Arc et principalement celle d'un monument à élever en son honneur (9),1865,Non côté,bon,,
45,1,6,,Qu'est devenue la statue de Jeanne d'Arc du sculpteur Préault ? (10),1892,Non côté,bon,,
45,1,6,,Un monument en l'honneur de Jeanne d'Arc (11),1888,Non côté,bon,,
45,1,6,VERGNAUD-ROMAGNESI C.-F.,Tapisserie de Jeanne d'Arc du musée d'Orléans (12),1859,Non côté,bon,,
45,1,6,COCHARD T.,Cathédrale d'Orléans: inscription commémorative de Jeanne d'Arc (13),1895,Non côté,bon,,
45,1,6,,La nouvelle revue: Jeanne d'Arc à Nancy (extrait) (14),1890,Non côté,bon,,
45,1,6,AUBE R.,La Normandie littéraire: la bannière de Jeanne d'Arc (extrait) (15),1888,Non côté,bon,,
45,1,6,,Livre d'or de la bannière de Jeanne d'Arc (16),1894,Non côté,bon,,
45,1,6,AURELIEN,La nouvelle bannière de Jeanne d'Arc (17),1894,Non côté,bon,,
45,1,6,JARRY E.,La maison de Jeanne d'Arc à Orléans (18),1904,Non côté,bon,,
45,1,6,,Recueil d'articles sur différents monuments sur Jeanne d'Arc (19),1888,Non côté,bon,,
45,1,6,COCHARD T. (abbé),Existe-t-il des reliques de Jeanne d'Arc (20),1891,Non côté,bon,,
45,1,6,FANTON R.,Les cendres de Jeanne d'Arc (21),1891,Non côté,bon,,
45,1,6,,Une idée originale (22),1891,Non côté,bon,,
45,1,6,,Jeanne d'Arc (recueil) (23),1897,Non côté,bon,,
45,1,6,D'AVRIGNY,"Jeanne d'Arc à Rouen, tragédie en cinq actes et notice historique sur la mort de Jeanne d'Arc",,8 V 2,moyen,,
45,1,6,DE CONDE A.,La vénérable Jeanne d'Arc,1894,8 V 3,bon,,
45,1,6,CHEVOJON (abbé),Panégyrique de Jeanne d'Arc,1859,8 V 4,bon,,
45,1,6,MOUROT V. (abbé),"Jeanne d'Arc, sainteté et patriotisme, drame en trois actes",1879,8 V 5,bon,,
45,1,6,MOUROT V. (abbé),"Jeanne d'Arc, sainteté et patriotisme, drame en cinq actes",1890,8 V 5 bis,bon,,
45,1,6,RENARD,"Jeanne d'Arc ou la fille du peuple au Xvè siècle: drame, histoire et critique",1851,8 V 6,moyen,,
45,1,6,,Les fêtes de Jeanne d'Arc à Orléans,1907,8 V 7,bon,extraits de différents journaux,
45,1,6,LONGIN (abbé),Eloge de Jeanne d'Arc pour l'anniversaire de la délivrance d'Orléans,1825,8 V 8,moyen,,
45,1,6,MORVAN L.,"Jeanne d'Arc: sa mission, sa vie, sa mort",1883,8 V 9,bon,,
45,1,6,GUILLAUME L. (docteur),Les problèmes de l'histoire de Jeanne d'Arc,1908,8 V 10,moyen,,
45,1,6,,Missel de Jeanne d'Arc,,8 V 11,bon,,
45,1,6,MOUROT V. (abbé),"Jeanne d'Arc, la Vierge de Domrémy",1890,8 V 12,bon,,
45,1,6,LEMANN J. (abbé),Jeanne d'Arc et les héroïnes juives,1891,8 V 13,bon,,
45,1,6,LESIGNE E.,La fin d'une légende: vie de Jeanne d'Arc (de 1409 à 1440),1889,8 V 14,bon,,
45,1,6,SCHILLER,uvres dramatiques de Schiller,1865,8 V 15,moyen,,
45,1,6,VERGNAUD-ROMAGNESI C.-F.,Notes curieuses dont plusieurs inédites sur les fêtes de la ville d'Orléans dites fêtes de Jeanne d'Arc (1),1862,8 V 16,bon,,
45,1,6,,Liste chronologique des orateurs qui ont prononcé le panégyrique de Jeanne d'Arc dans la chaire chrétienne depuis l'an 1460 jusqu'à nos jours (2),1869,,,,
45,1,6,HERLUISON H.,Les panégyristes de Jeanne d'Arc (3),1870,,bon,,
45,1,6,LEMERLE C. (abbé),"Essai d'une bibliographie raisonnée de Jeanne d'Arc, les éloges panégyriques (4)",1886,,bon,,
45,1,6,BARBIER P.-J.,"Jeanne d'Arc, drame en cinq actes, en vers avec churs",1890,8 V 17,moyen,,
45,1,6,ALLEAUME C. (abbé),Gloire à Jeanne d'Arc,1894,8 V 18,bon,,
45,1,6,D'ANTOINE ASTESAN,"La vierge guerrière: Jeanne de France, fragment d'un poème",1874,8 V 19,bon,,
45,1,6,LOUBON L.,De Domrémy à Reims,1907,8 V 20,bon,,
45,1,6,,Jeanne d'Arc à Rouen,,8 V 21,moyen,,
45,1,6,BLOSSAC C.,Histoire de Jeanne d'Arc,,8 V 22,bon,,
45,1,6,SCHILLER,La pucelle d'Orléans: Jeanne d'Arc,1887,8 V 23,bon,,
45,1,6,MARIN P.,La mission de Jeanne d'Arc,1891,8 V 24,bon,,
45,1,6,GASNIER (abbé),"Le siège d'Orléans et la campagne de la Loire en 1429, panégyrique de la vénérable Jeanne d'Arc",1895,8 V 25,bon,,
45,1,6,SCRIBE P.-A.-A.,"Jeanne d'Arc, hommes et choses de son temps, étude historique-drame",1861,8 V 26,moyen,,
45,1,6,BILLARD E.,Jeanne d'Arc,1896,8 V 27,bon,,
45,1,6,MILLOT H.,"Jeanne d'Arc, ou la pucelle d'Orléans, drame en cinq actes et prose",1832,8 V 28,moyen,,
45,1,6,LEMIRE C.,"Jeanne d'Arc et le sentiment national (1412 - 1431, 1870 - 18**)",1898,8 V 29,bon,,
45,1,6,VILLIAUME N.,Histoire de Jeanne d'Arc et réfutation des diverses erreurs publiées jusqu'aujourd'hui,1864,8 V 30,bon,,
45,1,6,GUILLEMIN A.,"Jeanne d'Arc, poëme",1858,8 V 31,moyen,,
45,1,6,,Jeanne d'Arc au théatre,,8 V 32,bon,extraits de différents journaux,
45,1,6,POSTEL R.,Jeanne d'Arc,,8 V 33,bon,,
45,1,6,,Histoire du siège d'Orléans par les Anglais,1885,8 V 34,bon,,
45,1,6,DEBOUT H.,"La bienheureuse Jeanne d'Arc, nouvelle vie populaire illustrée",1907,8 V 35,moyen,,
45,1,6,ARREAT L.,"Domrémi, drame en vers",1874,8 V 36,bon,,
45,1,6,MAURIN M.,"Jeanne d'Arc, ou le siège d'Orléans, comédie héroïque à grand spectacle, en trois actes et en vers",1809,8 V 37,moyen,,
45,1,6,CRESSOT E.,"Jeanne d'Arc, drame en cinq actes",1841,8 V 38,moyen,,
45,1,6,DEGUERRY (abbé),Eloges de Jeanne d'Arc prononcés dans l'église cathédrale d'Orléans,1856,8 V 39,moyen,,
45,1,6,ALLARD P.,"Jeanne d'Arc, poème lyrique en trois parties",1886,8 V 40,bon,,
45,1,6,CORBANI P.,Jeanne d'Arc,,8 V 41,moyen,,
45,1,6,DE GOMBERVAUX R.,"Jeanne d'Arc: sa mission, son culte",1893,8 V 42,bon,,
45,1,6,FABIE F.,Le mois de Jeanne d'Arc,1892,8 V 43,bon,extraits de différents journaux,
45,1,6,ZELLER B. et LUCHAIRE A.,Charles VII et Jeanne d'Arc,1886,8 V 44,bon,,
45,1,6,MAX. DE M**,"Jeanne d'Arc, ou le récit d'un preux chevalier",1832,8 V 45,moyen,,
45,1,6,ROY J.-J.-E.,Histoire de Jeanne d'Arc dite la pucelle d'Orléans,1850,8 V 46,moyen,,
45,1,6,,Mirouer des femmes vertueuses,1840,8 V 47,bon,,
45,1,6,DIEULAFOY et GERSIN,"Jeanne d'Arc ou le siège d'Orléans, fait historique, en trois actes, mèlé de Vaudeville",1812,8 V 48,bon,,
45,1,6,SOUMET A.,"Jeanne d'Arc, tragédie en cinq actes et en vers",1825,8 V 49,moyen,,
45,1,6,CUVELIER J. G. A.,"Jeanne d'Arc ou la pucelle d'Orléans, pantomine en trois actes et à grand spectacle",1803,8 V 50,moyen,,
45,1,6,R. G.,"Le départ de Jeanne d'Arc, drame historique en deux actes et en vers",1879,8 V 51,bon,,
45,1,6,,Bibliographie de Jeanne d'Arc,,8 V 52,bon,,
45,1,6,BAUMGARTEN (docteur),Geschichte von Jungfrau von Orléans,,8 V 53,bon,,
45,1,6,SAUVAGE (abbé),Le monument de Jeanne d'Arc à Bonsecours,1892,8 V 54,bon,,
45,1,6,DE MARTHOLD J.,"La bonne Lorraine, chronique nationale",1908,8 V 55,bon,,
45,1,6,DUVAL P.-C.-P.,"Jeanne d'Arc ou la délivrance de la France, en 12 chants",1857,8 V 56,bon,,
45,1,6,BERRIAT-SAINT-PRIX,"Jeanne d'Arc, ou coup d'il sur les révolutions de France au tems de Charles VI et de Charles VII, et sur-tout de la pucelle d'Orléans",1817,8 V 57,bon,,
45,1,6,,Mémoires concernant la pucelle d'Orléans,,8 V 58,moyen,,
45,1,6,,"Jeanne d'Arc, récit historique et critique de sa mission, présenté sous forme dramatique en sept journées et en vers libres",1861,8 V 59,moyen,,
45,1,6,BADEL E.,"Jeanne d'Arc en Lorraine: sa venue à Toul, Nancy, Saint-Nicolas, Dieulouard (1)",,8 V 60,bon,,
45,1,6,BADEL E.,Les fêtes de Jeanne d'Arc à Saint-Nicolas de Port (2),1929,bon,,,
45,1,6,,Légendes populaires: Jehanne d'Arc,,8 V 61,bon,,
45,1,6,GEOFFROY A.,"Jeanne la Française, récit national",1895,8 V 62,bon,,
45,1,6,VOLTAIRE,uvres complètes de Voltaire tome 11,1784,8 V 63,bon,,
45,1,6,RENZI A.,"Jeanne d'Arc, sa mission et son martyre, avec le plan du siège d'Orléans et la photographie de la statue équestre de M. Foyatier",1855,8 V 64,bon,,
45,1,6,TOUTAIN-MAZEVILLE,La mission de la pucelle d'Orléans,1865,8 V 65,moyen,,
45,1,6,,Mélanges sur Jeanne d'Arc,,8 V 66,bon,"extraits de différents journaux, index manuscrit",
45,1,6,,Opuscules poétiques (1),XVIIIè siècle,8 V 67,bon,,
45,1,6,,Opuscules poétiques (2),XIXè siècle,,bon,,
45,1,6,,La ballade de la pucelle (3),1892,,bon,,
45,1,6,,"Trois Messéniennes, élégies sur les malheurs de la France. Deux Messéniennes sur la vie et la mort de Jeanne d'Arc (4)",1820,,moyen,,
45,1,6,DE BRADI (comtesse),"Jeanne d'Arc, poème (5)",,,bon,,
45,1,6,,"Le Sylphe, revue des écrivains dauphinois: les adieux de Jeanne d'Arc à Domremy, son village natal (6)",,,bon,,
45,1,6,VILLENAVE (fils),"Jeanne d'Arc, poème historique (7)",1829,,moyen,,
45,1,6,PREMIER J.-A. (abbé),Préludes poétiques au poème de Jeanne d'Arc (8),1885,,bon,,
45,1,6,BAUDRY F. H.,"Jeanne d'Arc, cantate (9)",,,bon,,
45,1,6,COLLIGNON A.,Trois étapes de la vie de Jeanne d'Arc (10),1893,,bon,,
45,1,6,DAVID J.,"L'investigateur, journal de la société des études historiques: la mission de la Pucelle d'Orléans (11)",1876,,bon,,
45,1,6,LOMBART A.,Jeanne d'Arc (12),1876,,bon,,
45,1,6,GOUJET (abbé),Jean Chapelain (13),1726,,bon,,
45,1,6,GRAVIER A. (abbé),"uvre du monument national à Jeanne d'Arc: cantiques du pèlerinage à Domremy, berceau et patrie de la Libératrice de la France (14)",,,bon,,
45,1,6,MARQUEZY F.,"A Jeanne d'Arc, l'héroïne chrétienne (1410 - 1431) (15)",1894,,bon,,
45,1,6,DOUAY M.,"Jeanne d'Arc, poème couronné hors concours, par la société d'encouragement au Bien (16)",1896,,bon,,
45,1,6,LAMBERT A.,"A Jeanne d'Arc, libératrice de la France: Revanche! (17)",1897,,bon,,
45,1,6,,Anniversaire du martyre de Jeanne d'Arc (18),1898,,bon,,
