id,epi,travee,tablette,auteur,titre,annee,cote,tome,etat,metrage_ou_commentaire,carton
4,44,1,0,BENOIT A.,Les Ex-libris anciens aux armes de Jeanne d'Arc,1894,4 V 1,,bon,,90
5,45,1,6,BOUCHER DE MOLANDON,Inauguration d'une croix commémorative du passage et du séjour de Jeanne d'Arc à Chécy (1),1892,8 V 1,,bon,,
9,45,1,5,DESJARDINS A.,Vie de Jeanne d'Arc,1854,8 V 100,,bon,,
11,45,1,5,,Premier panégyrique de Jeanne d'Arc,1869,8 V 101,,bon,,
12,,58,,DUPANLOUP,Premier Panégyrique de Jeanne d'Arc,1869,8 V 101,,bon,,107
13,45,1,5,LUCE S.,Jeanne d'Arc à Domrémy,1887,8 V 102,,bon,,
15,45,1,5,HINZELIN E.,Chez Jeanne d'Arc,1904,8 V 103,,bon,,
17,45,1,5,DENIS L.,"Jeanne d'Arc, médium",1923,8 V 104,,bon,,
19,45,1,5,JENY L. et LANERY D'ARC P.,"Jeanne d'Arc en Berry et l'ancienne fête dite ""de la pucelle"" à Bourges",,8 V 105,,bon,,
20,,58,,JENY L. et LANERY D'ARC P.,Jeanne d'Arc en Berry,Non daté,8 V 105,,bon,,107
21,45,1,5,,Gallerie zu Schillers Gedichten,,8 V 106,,bon,,
23,45,1,5,,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans",1839,8 V 107,,bon,,
24,,58,,,Histoire de Jeanne d'Arc surnommée la Pucelle d'Orléans,1839,8 V 107,,bon,,107
25,45,1,5,CHAMPION L.,Jeanne d'Arc écuyère,1901,8 V 108,,bon,,
26,,58,,CHAMPION L.,Jeanne d'Arc écuyère,1901,8 V 108,,bon,,107
27,45,1,5,CARRIER-BELLEUSE P.,"La mission patriotique de Jeanne d'Arc, huit tableaux",,8 V 109,,bon,,
28,,58,,CARRIER-CELLEUSE,"La mission patriotique de Jeanne d'Arc, huit tableaux",Non daté,8 V 109,,bon,,107
29,45,1,6,,Missel de Jeanne d'Arc,,8 V 11,,bon,,
30,,58,,,Missel de Jeanne d'Arc,,8 V 11,,bon,Archevêché de Paris,106
31,45,1,5,DE MONTROND M.,"Jeanne d'Arc, récit d'un preux chevalier",1859,8 V 110,,bon,,
32,,58,,DE MONTROND M.,"Jeanne d'Arc, récit d'un preux chevalier",1859,8 V 110,,bon,,107
33,45,1,5,BOUTON,Pierre Cauchon,1890,8 V 111,,bon,avec notes manuscrites,
34,,58,,CAUCHON P.,Jeanne d'Arc,1890,8 V 111,,bon,,107
35,45,1,5,RICARD (Mgr),Jeanne d'Arc la vénérable,,8 V 112,,bon,,
36,,58,,RICARD,Jeanne d'Arc la Vénérable,1894,8 V 112,,bon,,107
39,45,1,5,FRANCE A.,Vie de Jeanne d'Arc tome 1,,8 V 114,,bon,,
40,45,1,5,FRANCE A.,Vie de Jeanne d'Arc tome 2,,8 V 114,,bon,,
41,,58,,FRANCE A.,"Vie de Jeanne d'Arc, tome second",1908,8 V 114,,bon,,108
42,,58,,FRANCE A.,"Vie de Jeanne d'Arce, tome premier",1908,8 V 114,,bon,,108
45,45,1,5,DE LAFLOTTE D. B.,"Sur les pas de Jeanne d'Arc, souvenirs d'un pèlerin",1909,8 V 116,,bon,,
46,,58,,B. DE LA FLOTTE D.,Sur les Pas de Jeanne d'Arc,1909,8 V 116,,bon,,108
47,45,1,5,METGE L.,"Théatre inédit du XIXè siècle, recueil de pièces qui n'ont été représentées sur aucun théatre: Jeanne d'Arc, opéra en cinq actes",1874,8 V 117,,bon,,
49,45,1,5,,Le 462ème anniversaire de la délivrance d'Orléans par Jeanne d'Arc,1891,8 V 118,,bon,recueil d'articles,
50,,58,,,Le 462e Anniversaire de la délivrance d'Orléans par Jeanne d'Arc,1891,8 V 118,,bon,,108
51,45,1,5,DE BARANTE (baron),Histoire de Jeanne d'Arc,1859,8 V 119,,bon,,
