id;epi;travee;tablette;cote;ordre;lieu;format;auteur;titre;annee;tome;etat;commentaire
1;10;38;1;8 S 1573;;;in-8;;[dossier] Localités Moselle;;[d];bon;contient 43 documents 
2;10;38;1;8 S 1574;;;in-8;;[dossier] ;;[d];bon;contient 55 documents 
3;10;38;1;8 S 1575;;;in-8;;[dossier] Biographies;;[d];bon;contient 35 documents 
4;10;38;1;8 S 1576;;;in-8;;[dossier] ;;[d];bon;contient 40 documents - 0,90 m 
5;10;38;1;8 S 1577;;;in-8;;[dossier] Assocaition des artistes lorrains;;;bon;contient 35 documents 
6;10;38;1;8 S 1578;;;in-8;;[dossier] ;;[d];bon;contient 43 documents 
7;10;38;1;8 S 1579;;;in-8;;[dossier] ;;[d];bon;contient 20 documents 
8;10;38;1;8 S 1580;;;in-8;;[dossier] Archéologie;;[d];bon;contient 47 documents 
9;10;38;1;8 S 1581;;;in-8;;[dossier] Archéologie;;[d];bon;contient 37 documents 
10;10;38;1;8 S 1582;;;in-8;;[dossier] Archéologie;;[d];bon;contient 68 documents 
11;10;38;2;8 S 1583;;;in-8;;[dossier] Plaques de cheminées;;[d];bon;contient 21 documents 
12;10;38;2;8 S 1584;;;in-8;;[dossier] Localités diverses;;[d];bon;contient 16 documents - 0,87 m 
13;10;38;2;8 S 1585;;R32;in-12;THEVENOT, Emile;Histoire des Gaulois;1946;;bon;
14;10;38;2;8 S 1586;;R32;in-12;DAUX, Georges;Les étapes de l'archéologie;1942;;mauvais;
15;10;38;2;8 S 1587;;R32;in-12;BRIARD, Jacques;L'age du bronze;1959;;bon;
16;10;38;2;8 S 1588;;R32;in-12;BOISSIER, Gaston;Cicéron et ses amis;1917;;bon;
17;10;38;2;8 S 1589;;R32;in-12;GERNIER, Albert;La gaule celtique;1945;;bon;
18;10;38;2;8 S 1590;;R32;in-12;GRENIER, Albert;La gaule province romaine;1946;;bon;
19;10;38;2;8 S 1591;;;in-12;JULLIAN, Camille;Vercingétorix;1908;;bon;
20;10;38;2;8 S 1592;;;in-12;JULLIAN, Camille;Au seuil de notre Histoire (I);1930;;bon;
21;10;38;2;8 S 1592;;;in-12;JULLIAN, Camille;Au seuil de notre Histoire (II);1931;;bon;
22;10;38;2;8 S 1593;;;in-12;JULLIAN, Camille;De la Gaule à la France;1922;;bon;
23;10;38;2;8 S 1594;;;in-12;JULLIAN, Camille;Gallia;1907;;bon;
24;10;38;2;8 S 1595;;;in-12;LOT, Ferdinand;La Gaule;1947;;bon;
25;10;38;2;8 S 1596;;;in-12;LOT, Ferdinand;Naissance de la France;1948;;bon;
26;10;38;2;8 S 1597;;;in-12;LOT, Ferdinand;La fin du monde antique et le début du Moyen Âge;1927;;bon;
27;10;38;2;8 S 1598;;;in-8;LOT, Ferdinand;Les invasions germaniques;1945;;bon;
28;10;38;2;8 S 1599;;;in-12;DRIOUX, G.;Les Lingons;1934;;bon;
29;10;38;2;8 S 1600;;;in-12;DONNADIEU;Fréjus;1935;;bon;
30;10;38;2;8 S 1601;;;in-12;CONSTANS, L.-A.;Arles;1928;;bon;
31;10;38;2;8 S 1602;;;in-12;REINACH, Salomon;Répertoire de la statuaire grecques et romaine (tome premier);1916;;mauvais;
32;10;38;2;8 S 1603;;;in-8;BRUNET, Pierre et MIELI, Aldo;Histoire des sciences;1935;;bon;
33;10;38;2;8 S 1604;;;in-8;DAUZAT, Albert;La toponymie française;1939;;bon;
34;10;38;2;8 S 1605;;;in-8;anonyme;Museum schoepflini;1773;;bon;
35;10;38;2;8 S 1606;;;in-12;CARCOPINO, Jérôme;Le mystère d'un symbole chrétien;1955;;bon;
36;10;38;2;8 S 1607;;R32;in-12;CARCOPINO, Jérôme;La basilique pythagoricienne de la porte majeure;1927;;bon;
37;10;38;2;8 S 1608;;;in-12;CARCOPINO, Jérôme;Les étapes de l'impérialisme romain;1961;;bon;
38;10;38;2;8 S 1609;;;in-12;CARCOPINO, Jérôme;Passion et politique chez les Césars;1958;;bon;
39;10;38;2;8 S 1610;;;in-12;CARCOPINO, Jérôme;Promenades historiques aux pays de la dame de Vix;1957;;bon;
40;10;38;2;8 S 1611;;;in-13;CARCOPINO, Jérôme;Profils de conquérants;1961;;;
41;10;38;2;8 S 1612;;;in-12;HATT, Jean-Jacques;Strasbourg au temps des romains;1953;;bon;
42;10;38;2;8 S 1613;;;in-12;ALLARD, Paul;Les origines du servage en France;1913;;bon;
43;10;38;2;8 S 1614;;;in-12;BOURGEOIS, Emile;Manuel historique de politique étrangère (tome Ier);1911;;bon;
44;10;38;2;8 S 1614;;;in-12;BOURGEOIS, Emile;Manuel historique de politique étrangère (tome II);1909;;bon;
45;10;38;2;8 S 1615;;R32;in-12;POIRE, Eugène;Les monuments nationaux en Allemagne;1908;;bon;
46;10;38;2;8 S 1616;;;in-12;MARROU, H.-I.;De la connaissance historique;1959;;bon;
47;10;38;2;8 S 1617;;R32;in-12;PLUTARQUE;Les Vies des Hommes illustres (*);1937;;bon;
48;10;38;2;8 S 1617;;R32;in-12;PLUTARQUE;Les Vies des Hommes illustres (**);1937;;bon;0,87 m 
49;10;38;2;8 S 1618;;;in-8;CAGNAT, René;Cours d'épigraphie Latine;1913;;bon;
50;10;38;2;8 S 1619;;;in-8;DESJARDINS, Ernest;Géographie historique et adminitrative de la Gaule Romaine (tome premier);1887;;bon;
51;10;38;2;8 S 1619;;;in-8;DESJARDINS, Ernest;Géographie historique et adminitrative de la Gaule Romaine (tome deuxième);1888;;bon;
52;10;38;2;8 S 1620;;;in-8;BLANCHET, Adrien;Etude suur le décoration des édifices de la Gaule Romaine;1913;;bon;
53;10;38;2;8 S 1621;;;in-8;ROBLIN, Michel;Le terroir de Paris;1951;;bon;
54;10;38;2;8 S 1622;;;in-8;DECOUFLE, Pierre;La nation d'ex-voto anatomique chez les Etrusco-Romains;1964;;bon;
