id,epi,travee,tablette,cote,ordre,lieu,format,auteur,titre,annee,tome,etat,commentaire
1,1,4,2,4 A 10,,,in-8,"PROST, Auguste",Notice sur la collection des manuscrits de la bibliothèque de Metz,1877,,bon,
2,1,4,2,4 A 11,,,in-8,"ROUSSEL, Emile",Table chronologique des actes et délibérations de l'autorité municipale,1891,,bon,
3,1,4,2,4 A 12,,,in-4,"MAHUET, Antoine de et ROBERT, Edmond des",Essai de répertoire des ex-libris et fers de reliure des bibliophiles lorrains (Wiener),1906,,bon,
4,1,4,2,4 A 12,,,in-4,"MAHUET, Antoine de et ROBERT, Edmond des",Essai de répertoire des ex-libris et fers de reliure des bibliophiles lorrains,1906,,bon,
5,1,4,2,4 A 12,,,in-4,"MAHUET, Antoine de et ROBERT Edmond, des",Complément à l'essai de répertoire des ex-libris et fers de reliure des bibliophiles lorrains,1933,,bon,
6,8,31,2,4 A 12,,,in-4,"MAHUET, Antoine de et ROBERT, Edmond des",Ex-libris et fers de reliure des bibliophiles lorrains tables générales,1933,,bon,
7,1,4,2,4 A 13,,,in-4,imprimerie Saint-Epvre,Fringnel & Guyot,1884,,bon,
8,1,4,2,4 A 14,,,in-4,"LACROIX, Paul, FOURNIER, Édouard et SERE, Ferdinand",Histoire de l'imprimerie,1832,,bon,
9,1,4,2,4 A 15,,,in-4,anonyme,"Caractères français, allemands et grecs composant l'imprimerie lorraine de Prosper Trenet à Saint-Nicolas-de-Port",1839,,bon,"0,91 m"
10,1,4,2,4 A 16,,,in-4,"BENOIT, Arthur","Les bibliophiles, les collectionneurs et les bibliothèques de monastères des trois évêchés",1884,,bon,
11,8,31,1,4 A 16,,,in-4,Benoit Arthur,Les bibliophiles les collectionneurs et les bibliothèques des monastères des trois évêchés 1552-1790 (Wiener),1884,,bon,
12,1,4,2,4 A 17,,,in-4,"DENIS, Ch.",Inventaire des registres de l'état civil de Lunéville,1899,,bon,
13,1,4,2,4 A 18,,,in-4,anonyme,"Catalogue illustré des livres précieux, manuscrits et imprimés faisant partie de la bibliothèque de M. Ambroise Firmin-Didot",1879,,bon,
14,1,4,2,4 A 19,,,in-4,anonyme,Catalogue de l'histoire de France (tome premier),1855,,bon,
15,1,4,2,4 A 19,,,in-4,anonyme,Catalogue de l'histoire de France (tome deuxième),1855,,bon,
16,1,4,2,4 A 19,,,in-4,anonyme,Catalogue de l'histoire de France (tome troisième),1856,,bon,
17,1,4,2,4 A 19,,,in-fol.,anonyme,Catalogue de l'histoire de France (tome quatrième),1857,,bon,
18,1,4,2,4 A 19,,,in-4,anonyme,Catalogue de l'histoire de France (tome cinquième),1858,,bon,
19,1,4,2,4 A 19,,,in-fol.,anonyme,Catalogue de l'histoire de France (tome sixième),1859,,bon,
20,1,4,2,4 A 19,,,in-fol.,anonyme,Catalogue de l'histoire de France (tome septième),1861,,bon,
21,1,4,2,4 A 19,,,in-fol.,anonyme,Catalogue de l'histoire de France (tome huitième),1863,,bon,
22,1,4,2,4 A 19,,,in-fol.,anonyme,Catalogue de l'histoire de France (tome neuvième),1865,,bon,
23,1,4,2,4 A 19,,,in-fol.,anonyme,Catalogue de l'histoire de France (tome dixième),1870,,bon,
24,1,4,2,4 A 19,,,in-fol.,anonyme,Catalogue de l'histoire de France (tome onzième),1879,,bon,
25,1,4,2,4 A 23,,,in-fol.,"CHARAVAY, Etienne",Lettres autographes composant la collection de M. Alfred Bovet,1887,,bon,
26,1,4,2,4 A 24,,,in-fol.,"DEMAY, G.",Inventaire des sceaux de la Flandre (tome premier),1873,,bon,
27,1,4,2,4 A 24,,,in-fol.,"DEMAY, G.",Inventaire des sceaux de la Flandre (tome II),1873,,bon,
28,1,4,2,4 A 25,,,in-fol.,"DEMAY, G.",Inventaire des sceaux de l'Artois et de la Picardie,1877,,bon,
29,1,4,3,4 A 27,1,,in-fol.,GIRAUD-BADIN,Catalogue de livres de feu M. Loys Delteil,1931,,bon,contient 15 documents
30,1,4,3,4 A 27,2,,in-fol.,DEMANGE,Une vieille charte du XV e,1892,,bon,contient 15 documents
31,1,4,3,4 A 27,3,,in-fol.,KOLB Albert,Die Anfänge der Druckkunst in Nancy (2 exemplaires),1930,,bon,contient 15 documents
32,1,4,3,4 A 27,4,,in-fol.,VICARS Arthur,Library interior book-plates (ex-libris) (I) -(II) - (III),1893,,bon,contient 15 documents
